,zip,cbsa,res_ratio,bus_ratio,oth_ratio,tot_ratio
1201,37032,34980,0.994332818134982,1.0,0.0,0.9945054945054945
1202,37033,34980,0.9875404933964615,0.9957894736842106,1.0,0.988556338028169
1205,37013,34980,1.0,1.0,1.0,1.0
1207,37026,34980,0.9787052810902896,1.0,1.0,0.9795081967213115
1208,37035,34980,0.9918422841604351,1.0,0.0,0.9919732441471572
1210,37069,34980,1.0,1.0,1.0,1.0
1211,37010,34980,0.4,0.9743589743589743,1.0,0.4116300366300366
1212,37121,34980,1.0,1.0,1.0,1.0
1213,37085,34980,1.0,1.0,0.0,1.0
1214,37153,34980,0.9473441108545034,0.9444444444444444,0.0,0.9472735466426319
1215,37135,34980,1.0,1.0,1.0,1.0
1216,37167,34980,1.0,1.0,1.0,1.0
1217,37186,34980,1.0,1.0,1.0,1.0
1218,37217,34980,1.0,1.0,1.0,1.0
1219,37220,34980,1.0,1.0,1.0,1.0
1220,37187,34980,1.0,1.0,1.0,1.0
1269,38563,34980,1.0,1.0,1.0,1.0
1271,38482,34980,1.0,1.0,0.0,1.0
3335,37152,34980,1.0,1.0,1.0,1.0
3336,37141,34980,1.0,1.0,0.0,1.0
3337,37189,34980,1.0,1.0,1.0,1.0
4369,38548,34980,0.34782608695652173,0.2,0.0,0.34441805225653205
4457,38461,34980,0.5824175824175825,0.7083333333333334,0.0,0.586436170212766
4695,37052,34980,0.029488291413703384,0.037037037037037035,0.0,0.029661016949152543
4814,38588,34980,0.06691449814126393,0.047619047619047616,0.0,0.06595995288574794
5073,37101,34980,0.017445482866043614,0.0375,0.0,0.018240659017358045
5289,37242,34980,0.0,0.0,1.0,1.0
5483,37018,34980,0.0007412898443291327,0.0,0.0,0.0006863417982155113
5560,37235,34980,0.0,1.0,0.0,1.0
5850,37227,34980,0.0,1.0,0.0,1.0
5865,37165,34980,0.0,1.0,0.0,1.0
7079,37015,34980,0.9919278252611586,0.9981203007518797,1.0,0.9924598404545951
7080,37072,34980,1.0,1.0,1.0,1.0
7081,37075,34980,1.0,1.0,1.0,1.0
7083,37087,34980,1.0,1.0,1.0,1.0
7085,37174,34980,0.9984370477568741,1.0,1.0,0.9985493230174082
7086,37076,34980,1.0,1.0,1.0,1.0
7087,37082,34980,1.0,1.0,1.0,1.0
7088,37098,34980,1.0,1.0,1.0,1.0
7090,37118,34980,1.0,1.0,0.0,1.0
7092,37172,34980,1.0,1.0,1.0,1.0
7094,37203,34980,1.0,1.0,1.0,1.0
7095,37211,34980,1.0,1.0,1.0,1.0
7096,37204,34980,1.0,1.0,1.0,1.0
7097,37179,34980,1.0,1.0,1.0,1.0
7145,38474,34980,0.9494396664060464,0.975609756097561,1.0,0.9517784674146574
9108,37077,34980,1.0,1.0,1.0,1.0
9111,37357,34980,0.06752873563218391,0.01764705882352941,0.045454545454545456,0.06451612903225806
10887,37171,34980,0.034545454545454546,0.0,0.0,0.03398926654740608
11223,37250,34980,0.0,0.0,1.0,1.0
11549,37132,34980,0.0,1.0,0.0,1.0
12897,37051,34980,0.6747630331753555,0.8235294117647058,0.0,0.6762463343108505
12899,37049,34980,1.0,1.0,0.0,1.0
12901,37024,34980,1.0,1.0,1.0,1.0
12902,37048,34980,1.0,1.0,1.0,1.0
12905,37128,34980,1.0,1.0,1.0,1.0
12907,37127,34980,1.0,1.0,1.0,1.0
12908,37138,34980,1.0,1.0,1.0,1.0
12909,37145,34980,0.9073593073593074,0.96,0.0,0.9084745762711864
12912,37150,34980,0.5525304292120435,0.5548780487804879,1.0,0.5552193645990923
12913,37209,34980,1.0,1.0,1.0,1.0
12915,37228,34980,1.0,1.0,1.0,1.0
12957,38401,34980,0.9929682824655894,0.9996023856858847,1.0,0.9936402180496668
12969,38560,34980,1.0,1.0,0.0,1.0
15023,37012,34980,0.2194732641660016,0.15384615384615385,0.0,0.21648690292758088
15035,38476,34980,1.0,1.0,1.0,1.0
16605,38569,34980,0.2882882882882883,0.34782608695652173,0.5,0.2921108742004264
17195,37236,34980,0.0,1.0,1.0,1.0
17266,37063,34980,0.0,1.0,0.0,1.0
18715,37027,34980,1.0,1.0,1.0,1.0
18718,37073,34980,1.0,1.0,1.0,1.0
18722,37190,34980,0.9907155797101449,0.9908466819221968,1.0,0.9908200734394125
18723,37215,34980,1.0,1.0,1.0,1.0
20829,37143,34980,1.0,1.0,1.0,1.0
20830,37095,34980,0.2641509433962264,0.2558139534883721,0.4,0.2644041041831097
20833,37181,34980,0.7341935483870968,0.75,0.5,0.7333333333333333
21309,37056,34980,1.0,1.0,1.0,1.0
21917,38483,34980,0.027598566308243727,0.024793388429752067,0.0,0.02735042735042735
22093,37110,34980,0.009217737917289488,0.0028222013170272815,0.0,0.008196285060407685
22738,37091,34980,0.004685669660288949,0.0011723329425556857,0.0,0.004348597799077032
22904,37119,34980,0.0,1.0,0.0,1.0
24675,37057,34980,1.0,1.0,0.0,1.0
24676,37062,34980,1.0,1.0,1.0,1.0
24678,37067,34980,1.0,1.0,1.0,1.0
24679,37068,34980,1.0,1.0,1.0,1.0
24681,37060,34980,0.8723051409618574,0.8676470588235294,0.0,0.8720565149136578
24682,37083,34980,1.0,1.0,1.0,1.0
24683,37115,34980,1.0,1.0,1.0,1.0
24684,37122,34980,1.0,1.0,1.0,1.0
24685,37129,34980,1.0,1.0,1.0,1.0
24687,37080,34980,1.0,1.0,1.0,1.0
24688,37149,34980,1.0,1.0,0.0,1.0
24689,37206,34980,1.0,1.0,1.0,1.0
24690,37212,34980,1.0,1.0,1.0,1.0
24691,37216,34980,1.0,1.0,1.0,1.0
24692,37218,34980,1.0,1.0,1.0,1.0
24693,37202,34980,1.0,1.0,1.0,1.0
24696,37188,34980,1.0,1.0,1.0,1.0
24697,37229,34980,1.0,1.0,1.0,1.0
24758,38567,34980,0.9396135265700483,1.0,1.0,0.9413145539906104
24762,38402,34980,1.0,1.0,1.0,1.0
27253,37016,34980,1.0,1.0,0.0,1.0
27261,38454,34980,1.0,1.0,0.0,1.0
28163,38552,34980,1.0,1.0,0.0,1.0
28897,38575,34980,0.0017937219730941704,0.0,0.0,0.0017079419299743809
29090,37071,34980,0.0,1.0,0.0,1.0
30481,37046,34980,0.9908693926161175,1.0,1.0,0.9911843618244538
30484,37036,34980,1.0,1.0,1.0,1.0
30485,37055,34980,1.0,1.0,1.0,1.0
30487,37064,34980,1.0,1.0,1.0,1.0
30490,37090,34980,1.0,1.0,1.0,1.0
30493,37137,34980,1.0,1.0,1.0,1.0
30494,37148,34980,1.0,1.0,1.0,1.0
30495,37133,34980,1.0,1.0,1.0,1.0
30498,37207,34980,1.0,1.0,1.0,1.0
30499,37214,34980,1.0,1.0,1.0,1.0
30500,37221,34980,1.0,1.0,1.0,1.0
30505,37201,34980,1.0,1.0,1.0,1.0
32580,37070,34980,1.0,1.0,1.0,1.0
33081,37043,34980,0.003917902141489693,0.0014144271570014145,0.0,0.0036147481725439796
33082,37065,34980,1.0,1.0,1.0,1.0
33083,37088,34980,1.0,1.0,1.0,1.0
33084,37166,34980,0.009424387414818037,0.0,0.0,0.008515655705489322
34070,38462,34980,0.004890453834115806,0.0,0.0,0.004433410179109771
34558,37131,34980,0.0,0.0,1.0,1.0
34878,37089,34980,0.0,0.0,1.0,1.0
35101,38472,34980,0.002117148906139732,0.0,0.0,0.002027027027027027
36416,37011,34980,1.0,1.0,1.0,1.0
36419,37037,34980,0.9971590909090909,1.0,0.0,0.9972110319181903
36421,37020,34980,0.2785646836638338,0.30434782608695654,0.0,0.2788416627744045
36422,37074,34980,1.0,1.0,1.0,1.0
36423,37116,34980,1.0,1.0,1.0,1.0
36424,37130,34980,1.0,1.0,1.0,1.0
36426,37210,34980,1.0,1.0,1.0,1.0
36427,37213,34980,1.0,1.0,1.0,1.0
36428,37205,34980,1.0,1.0,1.0,1.0
36430,37208,34980,1.0,1.0,1.0,1.0
36431,37232,34980,0.0,1.0,1.0,1.0
36478,38451,34980,0.9031126698816309,0.8947368421052632,1.0,0.9030590262817751
38535,37151,34980,1.0,1.0,0.0,1.0
38536,37222,34980,1.0,1.0,1.0,1.0
38537,37224,34980,1.0,1.0,1.0,1.0
39281,37140,34980,1.0,1.0,0.0,1.0
39886,37240,34980,0.0,1.0,0.0,1.0
40285,37246,34980,0.0,0.0,1.0,1.0
40472,37160,34980,0.0008644766591302035,0.0007189072609633358,0.0,0.0008388256440982624
40611,37234,34980,0.0,1.0,0.0,1.0
42224,37030,34980,0.9997055359246172,1.0,1.0,0.9997507477567298
42227,37025,34980,1.0,1.0,0.0,1.0
42228,37031,34980,1.0,1.0,1.0,1.0
42230,37066,34980,1.0,1.0,1.0,1.0
42231,37022,34980,1.0,1.0,0.0,1.0
42232,37014,34980,1.0,1.0,0.0,1.0
42233,37086,34980,1.0,1.0,1.0,1.0
42235,37146,34980,1.0,1.0,1.0,1.0
42236,37219,34980,1.0,1.0,1.0,1.0
42237,37184,34980,1.0,1.0,1.0,1.0
42279,38487,34980,1.0,1.0,1.0,1.0
44290,38547,34980,1.0,1.0,0.0,1.0
44733,37029,34980,1.0,1.0,1.0,1.0
45020,37180,34980,0.03968253968253968,0.0,0.0,0.03909026297085998
45584,37238,34980,0.0,1.0,1.0,1.0
45637,37243,34980,0.0,1.0,1.0,1.0
